Freq.	V(vout)
1.90094698160278e+03	(1.51013515395516e+00dB,-9.69951036039665e+01°)
1.99053585276746e+03	(1.90697256135046e+00dB,-9.73238485100112e+01°)
2.08434691735165e+03	(2.30350628129972e+00dB,-9.76679503118706e+01°)
2.18257916120081e+03	(2.69970730299735e+00dB,-9.80281126937922e+01°)
2.28544094807435e+03	(3.09554387455939e+00dB,-9.84050695671800e+01°)
2.39315046161316e+03	(3.49098125010780e+00dB,-9.87995860693541e+01°)
2.50593616813633e+03	(3.88598141473762e+00dB,-9.92124595486523e+01°)
2.62403730124883e+03	(4.28050278567987e+00dB,-9.96445205268294e+01°)
2.74770436928809e+03	(4.67449988789506e+00dB,-1.00096633628187e+02°)
2.87719968668575e+03	(5.06792300226356e+00dB,-1.00569698463152e+02°)
3.01279793037175e+03	(5.46071778448175e+00dB,-1.01064650452071e+02°)
3.15478672240093e+03	(5.85282485273177e+00dB,-1.01582461572852e+02°)
3.30346724003794e+03	(6.24417934217326e+00dB,-1.02124141013599e+02°)
3.45915485459464e+03	(6.63471042431305e+00dB,-1.02690735708757e+02°)
3.62217980037490e+03	(7.02434078935204e+00dB,-1.03283330734226e+02°)
3.79288787514587e+03	(7.41298608969456e+00dB,-1.03903049533657e+02°)
3.97164117362135e+03	(7.80055434294556e+00dB,-1.04551053944501e+02°)
4.15881885551330e+03	(8.18694529292676e+00dB,-1.05228543988485e+02°)
4.35481794978034e+03	(8.57204972752647e+00dB,-1.05936757386919e+02°)
4.56005419677949e+03	(8.95574875257599e+00dB,-1.06676968756734e+02°)
4.77496293010711e+03	(9.33791302143431e+00dB,-1.07450488438342e+02°)
4.99999999999993e+03	(9.71840192058111e+00dB,-1.08258660901404e+02°)
5.23564274025442e+03	(1.00970627122865e+01dB,-1.09102862669435e+02°)
5.48239098071585e+03	(1.04737296363665e+01dB,-1.09984499699019e+02°)
5.74076810748433e+03	(1.08482229741675e+01dB,-1.10905004144291e+02°)
6.01132217308698e+03	(1.12203480792768e+01dB,-1.11865830432567e+02°)
6.29462705897074e+03	(1.15898943810476e+01dB,-1.12868450572694e+02°)
6.59128369278194e+03	(1.19566343688795e+01dB,-1.13914348614186e+02°)
6.90192132301432e+03	(1.23203225673247e+01dB,-1.15005014172826e+02°)
7.22719885372953e+03	(1.26806945145055e+01dB,-1.16141934937578e+02°)
7.56780624218093e+03	(1.30374657590309e+01dB,-1.17326588074779e+02°)
7.92446596230545e+03	(1.33903308935826e+01dB,-1.18560430449314e+02°)
8.29793453718768e+03	(1.37389626465718e+01dB,-1.19844887589325e+02°)
8.68900414374674e+03	(1.40830110567031e+01dB,-1.21181341331625e+02°)
9.09850429304977e+03	(1.44221027588547e+01dB,-1.22571116100164e+02°)
9.52730358981608e+03	(1.47558404132844e+01dB,-1.24015463790164e+02°)
9.97631157484424e+03	(1.50838023136753e+01dB,-1.25515547256641e+02°)
1.04464806542700e+04	(1.54055422127701e+01dB,-1.27072422438488e+02°)
1.09388081197476e+04	(1.57205894070997e+01dB,-1.28687019188478e+02°)
1.14543382638387e+04	(1.60284491243481e+01dB,-1.30360120925558e+02°)
1.19941645950973e+04	(1.63286032579342e+01dB,-1.32092343278584e+02°)
1.25594321575477e+04	(1.66205114931265e+01dB,-1.33884111949384e+02°)
1.31513399594767e+04	(1.69036128671300e+01dB,-1.35735640086755e+02°)
1.37711435166906e+04	(1.71773278017814e+01dB,-1.37646905529919e+02°)
1.44201575156328e+04	(1.74410606414896e+01dB,-1.39617628347628e+02°)
1.50997586020098e+04	(1.76942027206470e+01dB,-1.41647249164654e+02°)
1.58113883008416e+04	(1.79361359737824e+01dB,-1.43734908826949e+02°)
1.65565560741293e+04	(1.81662370882436e+01dB,-1.45879430006400e+02°)
1.73368425226263e+04	(1.83838821833428e+01dB,-1.48079301381171e+02°)
1.81539027385047e+04	(1.85884519820074e+01dB,-1.50332665043707e+02°)
1.90094698160277e+04	(1.87793374216122e+01dB,-1.52637307781386e+02°)
1.99053585276745e+04	(1.89559456305448e+01dB,-1.54990656840897e+02°)
2.08434691735164e+04	(1.91177061770950e+01dB,-1.57389780724403e+02°)
2.18257916120079e+04	(1.92640774785161e+01dB,-1.59831395472320e+02°)
2.28544094807433e+04	(1.93945532416940e+01dB,-1.62311876765006e+02°)
2.39315046161315e+04	(1.95086687939139e+01dB,-1.64827278026514e+02°)
2.50593616813631e+04	(1.96060071537734e+01dB,-1.67373354542758e+02°)
2.62403730124881e+04	(1.96862046892124e+01dB,-1.69945593420441e+02°)
2.74770436928807e+04	(1.97489562125327e+01dB,-1.72539249020349e+02°)
2.87719968668573e+04	(1.97940193714379e+01dB,-1.75149383308271e+02°)
3.01279793037173e+04	(1.98212182104688e+01dB,-1.77770910388685e+02°)
3.15478672240090e+04	(1.98304457982662e+01dB,1.79601355670003e+02°)
3.30346724003792e+04	(1.98216658420545e+01dB,1.76972650735830e+02°)
3.45915485459461e+04	(1.97949132404482e+01dB,1.74348209344784e+02°)
3.62217980037488e+04	(1.97502935577629e+01dB,1.71733213414826e+02°)
3.79288787514584e+04	(1.96879814359096e+01dB,1.69132742094249e+02°)
3.97164117362133e+04	(1.96082179920608e+01dB,1.66551723851497e+02°)
4.15881885551327e+04	(1.95113072800675e+01dB,1.63994891826027e+02°)
4.35481794978031e+04	(1.93976119196598e+01dB,1.61466743334690e+02°)
4.56005419677945e+04	(1.92675480186520e+01dB,1.58971504272322e+02°)
4.77496293010708e+04	(1.91215795288540e+01dB,1.56513098967494e+02°)
