x-axis,1,2
second,Volt,Volt
-100.000E-06,+2.492462285E+00,-160.804018E-03
-99.900E-06,+2.503948286E+00,-45.944005E-03
-99.800E-06,+2.561378293E+00,-137.832016E-03
-99.700E-06,+2.515434287E+00,-137.832016E-03
-99.600E-06,+2.412060276E+00,-80.402009E-03
-99.500E-06,+2.423546277E+00,-80.402009E-03
-99.400E-06,+2.492462285E+00,-34.458004E-03
-99.300E-06,+2.492462285E+00,-80.402009E-03
-99.200E-06,+2.492462285E+00,+0.0E+00
-99.100E-06,+2.549892291E+00,+68.916008E-03
-99.000E-06,+2.492462285E+00,+0.0E+00
-98.900E-06,+2.492462285E+00,+0.0E+00
-98.800E-06,+2.492462285E+00,+11.486001E-03
-98.700E-06,+2.572864294E+00,+114.860013E-03
-98.600E-06,+2.572864294E+00,+0.0E+00
-98.500E-06,+2.492462285E+00,+160.804018E-03
-98.400E-06,+2.584350295E+00,+160.804018E-03
-98.300E-06,+2.549892291E+00,+183.776021E-03
-98.200E-06,+2.435032278E+00,+183.776021E-03
-98.100E-06,+2.423546277E+00,+172.290020E-03
-98.000E-06,+2.492462285E+00,+241.206028E-03
-97.900E-06,+2.412060276E+00,+241.206028E-03
-97.800E-06,+2.492462285E+00,+287.150033E-03
-97.700E-06,+2.503948286E+00,+321.608037E-03
-97.600E-06,+2.549892291E+00,+321.608037E-03
-97.500E-06,+2.492462285E+00,+344.580039E-03
-97.400E-06,+2.572864294E+00,+390.524045E-03
-97.300E-06,+2.458004281E+00,+402.010046E-03
-97.200E-06,+2.492462285E+00,+321.608037E-03
-97.100E-06,+2.526920289E+00,+367.552042E-03
-97.000E-06,+2.503948286E+00,+402.010046E-03
-96.900E-06,+2.572864294E+00,+459.440053E-03
-96.800E-06,+2.515434287E+00,+482.412055E-03
-96.700E-06,+2.492462285E+00,+482.412055E-03
-96.600E-06,+2.526920289E+00,+562.814064E-03
-96.500E-06,+2.572864294E+00,+482.412055E-03
-96.400E-06,+2.446518280E+00,+482.412055E-03
-96.300E-06,+2.492462285E+00,+562.814064E-03
-96.200E-06,+2.515434287E+00,+562.814064E-03
-96.100E-06,+2.469490282E+00,+562.814064E-03
-96.000E-06,+2.492462285E+00,+574.300066E-03
-95.900E-06,+2.412060276E+00,+677.674077E-03
-95.800E-06,+2.412060276E+00,+643.216074E-03
-95.700E-06,+2.538406290E+00,+654.702075E-03
-95.600E-06,+2.492462285E+00,+643.216074E-03
-95.500E-06,+2.549892291E+00,+723.618083E-03
-95.400E-06,+2.492462285E+00,+723.618083E-03
